-;;;;;;;;8;9;10;11;12;13;14;15;16;17;18;19
-;;;;;;;;POTENCIA (€/kW/día);;;;;;ENERGIA (€/kWh);;;;;
-;soporte;CIA;SISTEMA;CIA;Producto CIA (potencia);Transporte Distribución;fee;P1;P2;P3;P4;P5;P6;P1;P2;P3;P4;P5;P6
-;BALEARESACCIONAFIJOLEVANTE+2.0TD-;ACCIONA;BALEARES;;LEVANTE+;2.0TD;-; 0,08264 € ; 0,01409 € ; -   € ; -   € ; -   € ; -   € ; 0,36760 € ; 0,31653 € ; 0,27791 € ; -   € ; -   € ; -   € 
-;BALEARESACCIONAFIJOPONIENTE2.0TD-;ACCIONA;BALEARES;;PONIENTE;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,36151 € ; 0,31044 € ; 0,27182 € ; -   € ; -   € ; -   € 
-;BALEARESACCIONAFIJOPONIENTE+2.0TD-;ACCIONA;BALEARES;;PONIENTE+;2.0TD;-; 0,07716 € ; 0,00861 € ; -   € ; -   € ; -   € ; -   € ; 0,36151 € ; 0,31044 € ; 0,27182 € ; -   € ; -   € ; -   € 
-;BALEARESACCIONAFIJOTRAMONTANA2.0TD-;ACCIONA;BALEARES;;TRAMONTANA;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,35644 € ; 0,30536 € ; 0,26674 € ; -   € ; -   € ; -   € 
-;BALEARESACCIONAFIJOTRAMONTANA+2.0TD-;ACCIONA;BALEARES;;TRAMONTANA+;2.0TD;-; 0,07442 € ; 0,00587 € ; -   € ; -   € ; -   € ; -   € ; 0,35644 € ; 0,30536 € ; 0,26674 € ; -   € ; -   € ; -   € 
-;BALEARESACCIONAFIJOCIERZO3.0TD-;ACCIONA;BALEARES;;CIERZO;3.0TD;-; 0,05600 € ; 0,04692 € ; 0,03047 € ; 0,02805 € ; 0,02345 € ; 0,02132 € ; 0,31048 € ; 0,30869 € ; 0,30775 € ; 0,29614 € ; 0,28242 € ; 0,26264 € 
-;BALEARESACCIONAFIJOLEVANTE3.0TD-;ACCIONA;BALEARES;;LEVANTE;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,32165 € ; 0,31985 € ; 0,31892 € ; 0,30731 € ; 0,29358 € ; 0,27380 € 
-;BALEARESACCIONAFIJOLEVANTE+3.0TD-;ACCIONA;BALEARES;;LEVANTE+;3.0TD;-; 0,05052 € ; 0,04144 € ; 0,02500 € ; 0,02257 € ; 0,01797 € ; 0,01584 € ; 0,32165 € ; 0,31985 € ; 0,31892 € ; 0,30731 € ; 0,29358 € ; 0,27380 € 
-;BALEARESACCIONAFIJOPONIENTE3.0TD-;ACCIONA;BALEARES;;PONIENTE;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,31556 € ; 0,31376 € ; 0,31283 € ; 0,30122 € ; 0,28749 € ; 0,26771 € 
-;BALEARESACCIONAFIJOPONIENTE+3.0TD-;ACCIONA;BALEARES;;PONIENTE+;3.0TD;-; 0,04504 € ; 0,03597 € ; 0,01952 € ; 0,01709 € ; 0,01249 € ; 0,01036 € ; 0,31556 € ; 0,31376 € ; 0,31283 € ; 0,30122 € ; 0,28749 € ; 0,26771 € 
-;BALEARESACCIONAFIJOTRAMONTANA3.0TD-;ACCIONA;BALEARES;;TRAMONTANA;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,31048 € ; 0,30869 € ; 0,30775 € ; 0,29614 € ; 0,28242 € ; 0,26264 € 
-;BALEARESACCIONAFIJOTRAMONTANA+3.0TD-;ACCIONA;BALEARES;;TRAMONTANA+;3.0TD;-; 0,04230 € ; 0,03323 € ; 0,01678 € ; 0,01435 € ; 0,00975 € ; 0,00762 € ; 0,31048 € ; 0,30869 € ; 0,30775 € ; 0,29614 € ; 0,28242 € ; 0,26264 € 
-;BALEARESACCIONAFIJOCIERZO6.1TD-;ACCIONA;BALEARES;;CIERZO;6.1TD;-; 0,07786 € ; 0,07225 € ; 0,04789 € ; 0,04125 € ; 0,02190 € ; 0,01969 € ; 0,27813 € ; 0,27681 € ; 0,27717 € ; 0,26953 € ; 0,25662 € ; 0,23910 € 
-;BALEARESACCIONAFIJOLEVANTE6.1TD-;ACCIONA;BALEARES;;LEVANTE;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,28930 € ; 0,28797 € ; 0,28833 € ; 0,28070 € ; 0,26778 € ; 0,25026 € 
-;BALEARESACCIONAFIJOLEVANTE+6.1TD-;ACCIONA;BALEARES;;LEVANTE+;6.1TD;-; 0,07238 € ; 0,06677 € ; 0,04241 € ; 0,03577 € ; 0,01642 € ; 0,01421 € ; 0,28930 € ; 0,28797 € ; 0,28833 € ; 0,28070 € ; 0,26778 € ; 0,25026 € 
-;BALEARESACCIONAFIJOPONIENTE6.1TD-;ACCIONA;BALEARES;;PONIENTE;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,28321 € ; 0,28188 € ; 0,28224 € ; 0,27461 € ; 0,26169 € ; 0,24417 € 
-;BALEARESACCIONAFIJOPONIENTE+6.1TD-;ACCIONA;BALEARES;;PONIENTE+;6.1TD;-; 0,06690 € ; 0,06129 € ; 0,03693 € ; 0,03029 € ; 0,01094 € ; 0,00873 € ; 0,28321 € ; 0,28188 € ; 0,28224 € ; 0,27461 € ; 0,26169 € ; 0,24417 € 
-;BALEARESACCIONAFIJOTRAMONTANA6.1TD-;ACCIONA;BALEARES;;TRAMONTANA;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,27813 € ; 0,27681 € ; 0,27717 € ; 0,26953 € ; 0,25662 € ; 0,23910 € 
-;BALEARESACCIONAFIJOTRAMONTANA+6.1TD-;ACCIONA;BALEARES;;TRAMONTANA+;6.1TD;-; 0,06416 € ; 0,05855 € ; 0,03419 € ; 0,02755 € ; 0,00820 € ; 0,00599 € ; 0,27813 € ; 0,27681 € ; 0,27717 € ; 0,26953 € ; 0,25662 € ; 0,23910 € 
